lat_bin,lon_bin,zone_count,zone_avg_mag,zone_max_mag,zone_std_mag,zone_avg_depth,zone_avg_plate,zone_rate
-52.0,20.0,3,5.7,5.9,0.173205080756888,10.0,0.9376322945760228,0.057692307692307696
-52.0,22.0,1,5.8,5.8,0.0,10.0,0.9053844401988239,0.019230769230769232
-52.0,26.0,2,5.699999999999999,5.8,0.1414213562373093,10.0,0.8966556965066177,0.038461538461538464
-52.0,28.0,10,5.84,6.7,0.4005551702879947,10.0,0.9411627796402959,0.19230769230769232
-52.0,30.0,2,6.050000000000001,6.4,0.49497474683058373,10.0,0.9602155457902731,0.038461538461538464
-52.0,40.0,1,5.7,5.7,0.0,10.0,0.22162247288673492,0.019230769230769232
-52.0,72.0,1,5.5,5.5,0.0,10.0,0.07312205539478056,0.019230769230769232
-52.0,114.0,3,5.6000000000000005,5.7,0.1000000000000002,25.333333333333332,0.6764562618574056,0.057692307692307696
-52.0,140.0,25,5.9239999999999995,6.6,0.3231098884280702,16.375999999999998,0.9394792569197841,0.4807692307692308
-52.0,158.0,1,5.5,5.5,0.0,10.0,0.670483785043266,0.019230769230769232
-52.0,160.0,18,6.088888888888889,8.2,0.6578833160343402,10.277777777777779,0.9392832466685365,0.34615384615384615
-52.0,162.0,9,5.7333333333333325,6.6,0.37416573867739417,10.0,0.9671330198946799,0.17307692307692307
-50.0,-116.0,9,5.7444444444444445,5.9,0.17400510848184264,10.555555555555555,0.9191030496119273,0.17307692307692307
-50.0,-114.0,22,5.972727272727273,6.5,0.29143621074784937,11.748636363636365,0.9380784705325218,0.4230769230769231
-50.0,-72.0,1,5.5,5.5,0.0,10.0,0.5384825206056834,0.019230769230769232
-50.0,-8.0,4,5.6,5.7,0.08164965809277276,10.0,0.9465043338068367,0.07692307692307693
-50.0,-6.0,1,5.5,5.5,0.0,10.0,0.9331071612769098,0.019230769230769232
-50.0,30.0,2,5.6,5.7,0.1414213562373093,12.5,0.9630937001738376,0.038461538461538464
-50.0,110.0,1,5.5,5.5,0.0,10.0,0.9805448595300099,0.019230769230769232
